system:index,region,vegClimZoneLab,pop,ref,skog
+35812+219463,Sørlandet,Boreonemoral sone (BN),1.46783828735352,0.217115417122841,5.74872565687779
+35987+219274,Sørlandet,Boreonemoral sone (BN),1.27676129341125,0.217115417122841,5.74872565687779
+36061+218939,Sørlandet,Boreonemoral sone (BN),0.295720338821411,0.217115417122841,5.74872565687779
+36068+218944,Sørlandet,Boreonemoral sone (BN),0.535859107971191,0.217115417122841,5.74872565687779
+36081+219043,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36113+218927,Sørlandet,Boreonemoral sone (BN),0.601366996765137,0.217115417122841,5.74872565687779
+36116+218922,Sørlandet,Boreonemoral sone (BN),0.567280650138855,0.217115417122841,5.74872565687779
+36118+218919,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36136+218920,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36161+218905,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36163+218980,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36165+218904,Sørlandet,Boreonemoral sone (BN),0.303945541381836,0.217115417122841,5.74872565687779
+36166+218902,Sørlandet,Boreonemoral sone (BN),0.310586452484131,0.217115417122841,5.74872565687779
+36180+218884,Sørlandet,Boreonemoral sone (BN),0.492897987365723,0.217115417122841,5.74872565687779
+36181+218967,Sørlandet,Boreonemoral sone (BN),1.0056312084198,0.217115417122841,5.74872565687779
+36182+218964,Sørlandet,Boreonemoral sone (BN),1.37209120392799,0.217115417122841,5.74872565687779
+36183+218883,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36184+218956,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36184+218961,Sørlandet,Boreonemoral sone (BN),0.458985328674316,0.217115417122841,5.74872565687779
+36189+218954,Sørlandet,Boreonemoral sone (BN),0.689618349075317,0.217115417122841,5.74872565687779
+36193+218958,Sørlandet,Boreonemoral sone (BN),1.83708572387695,0.217115417122841,5.74872565687779
+36195+218924,Sørlandet,Boreonemoral sone (BN),0.531546592712402,0.217115417122841,5.74872565687779
+36195+218926,Sørlandet,Boreonemoral sone (BN),0.373243689537048,0.217115417122841,5.74872565687779
+36195+218954,Sørlandet,Boreonemoral sone (BN),1.0500054359436,0.217115417122841,5.74872565687779
+36198+218951,Sørlandet,Boreonemoral sone (BN),0.442960977554321,0.217115417122841,5.74872565687779
+36200+218940,Sørlandet,Boreonemoral sone (BN),0.463805437088013,0.217115417122841,5.74872565687779
+36200+218962,Sørlandet,Boreonemoral sone (BN),1.11257839202881,0.217115417122841,5.74872565687779
+36242+218938,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36245+218939,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+36254+218949,Sørlandet,Boreonemoral sone (BN),1.17741680145264,0.217115417122841,5.74872565687779
+36274+218905,Sørlandet,Boreonemoral sone (BN),1.04459285736084,0.217115417122841,5.74872565687779
+36277+218905,Sørlandet,Boreonemoral sone (BN),0.402894973754883,0.217115417122841,5.74872565687779
+36283+218921,Sørlandet,Boreonemoral sone (BN),1.06583786010742,0.217115417122841,5.74872565687779
+38709+220605,Sørlandet,Boreonemoral sone (BN),0.217115417122841,0.217115417122841,5.74872565687779
+38719+220596,Sørlandet,Boreonemoral sone (BN),1.51089334487915,0.217115417122841,5.74872565687779
+38722+220595,Sørlandet,Boreonemoral sone (BN),0.504301786422729,0.217115417122841,5.74872565687779
+38729+220590,Sørlandet,Boreonemoral sone (BN),0.738571405410767,0.217115417122841,5.74872565687779
+38733+220590,Sørlandet,Boreonemoral sone (BN),0.913201332092285,0.217115417122841,5.74872565687779
+39538+220579,Østlandet,Boreonemoral sone (BN),0.44560182094574,0.0929687917232513,6.37483488664557
+35812+219463,Sørlandet,Boreonemoral sone (BN),"1.467838287353516","0.2171154171228409","5.748725656877792"
+35987+219274,Sørlandet,Boreonemoral sone (BN),"1.276761293411255","0.2171154171228409","5.748725656877792"
+36061+218939,Sørlandet,Boreonemoral sone (BN),"0.2957203388214111","0.2171154171228409","5.748725656877792"
+36068+218944,Sørlandet,Boreonemoral sone (BN),"0.5358591079711914","0.2171154171228409","5.748725656877792"
+36081+219043,Sørlandet,Boreonemoral sone (BN),"0.2171154171228409","0.2171154171228409","5.748725656877792"
+36113+218927,Sørlandet,Boreonemoral sone (BN),"0.6013669967651367","0.2171154171228409","5.748725656877792"
+36116+218922,Sørlandet,Boreonemoral sone (BN),"0.567280650138855","0.2171154171228409","5.748725656877792"
+36118+218919,Sørlandet,Boreonemoral sone (BN),"0.2171154171228409","0.2171154171228409","5.748725656877792"
+36136+218920,Sørlandet,Boreonemoral sone (BN),"0.2171154171228409","0.2171154171228409","5.748725656877792"
+36161+218905,Sørlandet,Boreonemoral sone (BN),"0.2171154171228409","0.2171154171228409","5.748725656877792"
+36163+218980,Sørlandet,Boreonemoral sone (BN),"0.2171154171228409","0.2171154171228409","5.748725656877792"
+36165+218904,Sørlandet,Boreonemoral sone (BN),"0.3039455413818359","0.2171154171228409","5.748725656877792"
+36166+218902,Sørlandet,Boreonemoral sone (BN),"0.3105864524841309","0.2171154171228409","5.748725656877792"
+36180+218884,Sørlandet,Boreonemoral sone (BN),"0.4928979873657227","0.2171154171228409","5.748725656877792"
