region,vegClimZoneLab,ref
Vestlandet,Nordboreal sone (NB),"0.090789794921875"
Vestlandet,Sørboreal sone (SB),"0.18328857421875"
Østlandet,Boreonemoral sone (BN),"0.4522240956624349"
Østlandet,Mellomboreal sone (MB),"0.076898711604324"
Østlandet,Nordboreal sone (NB),"0.0801491595587156"
Østlandet,Sørboreal sone (SB),"1.425254821777344"
Midt-Norge,Boreonemoral sone (BN),"0.01865959167480469"
Midt-Norge,Mellomboreal sone (MB),"0.300933837890625"
Midt-Norge,Nordboreal sone (NB),"0.1246305766858553"
Midt-Norge,Sørboreal sone (SB),"0.4795341491699219"
Nord-Norge,Mellomboreal sone (MB),"0.1909513473510742"
Nord-Norge,Nordboreal sone (NB),"0.07095130443572997"
Nord-Norge,Sørboreal sone (SB),"0.09485101699829102"
Sørlandet,Boreonemoral sone (BN),"1.11334228515625"
Sørlandet,Mellomboreal sone (MB),"0.112548828125"
Sørlandet,Nordboreal sone (NB),"0.166748046875"
Sørlandet,Sørboreal sone (SB),"0.1569050553853225"
Vestlandet,Boreonemoral sone (BN),"0.07625954725271882"
Vestlandet,Mellomboreal sone (MB),"0.1583404541015625"
Vestlandet,Nordboreal sone (NB),"0.083465576171875"
Vestlandet,Sørboreal sone (SB),"0.088775634765625"
Østlandet,Boreonemoral sone (BN),"0.3898038864135742"
Østlandet,Mellomboreal sone (MB),"0.41143798828125"
Østlandet,Nordboreal sone (NB),"0.054473876953125"
Østlandet,Sørboreal sone (SB),"1.5233154296875"
