region,vegClimZoneLab,ref
Nord-Norge,Nordboreal sone (NB),"0.1123199462890625"
Nord-Norge,Sørboreal sone (SB),"0.09589600563049316"
Sørlandet,Boreonemoral sone (BN),"0.2323970794677734"
Sørlandet,Mellomboreal sone (MB),"1.468292236328125"
Sørlandet,Nordboreal sone (NB),"0.131072998046875"
Sørlandet,Sørboreal sone (SB),"1.064849853515625"
Vestlandet,Boreonemoral sone (BN),"0.103856086730957"
Vestlandet,Mellomboreal sone (MB),"0.1538141424005682"
Vestlandet,Nordboreal sone (NB),"0.2730977861315872"
Vestlandet,Sørboreal sone (SB),"0.1987848877906799"
Østlandet,Boreonemoral sone (BN),"0.2259087713595429"
Østlandet,Mellomboreal sone (MB),"0.728179931640625"
Østlandet,Nordboreal sone (NB),"0.139373779296875"
Østlandet,Sørboreal sone (SB),"0.85272216796875"
