region,vegClimZoneLab,ref
Midt-Norge,Nordboreal sone (NB),0.0505294799804688
Vestlandet,Boreonemoral sone (BN),0.0491999387741089
Østlandet,Mellomboreal sone (MB),4.61997731526693
Østlandet,Sørboreal sone (SB),2.34615987141927
Midt-Norge,Nordboreal sone (NB),"0.05052947998046875"
Vestlandet,Boreonemoral sone (BN),"0.04919993877410889"
Østlandet,Mellomboreal sone (MB),"4.619977315266927"
Østlandet,Sørboreal sone (SB),"2.346159871419271"
Midt-Norge,Nordboreal sone (NB),"0.0538787841796875"
Vestlandet,Boreonemoral sone (BN),"0.05097746849060058"
Østlandet,Mellomboreal sone (MB),"4.577400207519531"
Østlandet,Sørboreal sone (SB),"2.266181945800781"
Midt-Norge,Nordboreal sone (NB),"0.0538787841796875"
Vestlandet,Boreonemoral sone (BN),"0.05097746849060058"
Østlandet,Mellomboreal sone (MB),"4.577400207519531"
Østlandet,Sørboreal sone (SB),"2.266181945800781"
Sørlandet,Boreonemoral sone (BN),"0.1495040655136108"
Vestlandet,Boreonemoral sone (BN),"0.05097746849060058"
Midt-Norge,Boreonemoral sone (BN),"0.1616496816277504"
Midt-Norge,Mellomboreal sone (MB),"1.690643310546875"
Midt-Norge,Nordboreal sone (NB),"0.075958251953125"
Midt-Norge,Sørboreal sone (SB),"0.371037483215332"
Nord-Norge,Mellomboreal sone (MB),"0.5829961001873016"
Nord-Norge,Nordboreal sone (NB),"0.4277415126562119"
Nord-Norge,Sørboreal sone (SB),"0.04462182521820068"
Sørlandet,Boreonemoral sone (BN),"0.2171154171228409"
Vestlandet,Boreonemoral sone (BN),"0.05097746849060058"
Vestlandet,Mellomboreal sone (MB),"1.804089307785034"
Vestlandet,Nordboreal sone (NB),"3.77398681640625"
Vestlandet,Sørboreal sone (SB),"0.8223876953125"
Østlandet,Boreonemoral sone (BN),"0.09296879172325134"
Østlandet,Mellomboreal sone (MB),"4.577400207519531"
Østlandet,Nordboreal sone (NB),"0.2447509765625"
Østlandet,Sørboreal sone (SB),"0.572418212890625"
